iter	Passed	Remaining
0	19	9783
1	37	9254
2	54	8948
3	71	8851
4	88	8766
5	107	8852
6	124	8788
7	142	8769
8	161	8791
9	178	8769
10	197	8790
11	216	8788
12	239	8987
13	259	9008
14	275	8906
15	293	8863
16	312	8869
17	329	8816
18	347	8799
19	366	8802
20	384	8766
21	401	8713
22	418	8670
23	435	8643
24	453	8607
25	470	8568
26	486	8518
27	504	8504
28	522	8480
29	538	8429
30	554	8388
31	571	8353
32	587	8317
33	604	8282
34	620	8246
35	639	8243
36	655	8205
37	671	8170
38	687	8126
39	704	8103
40	722	8084
41	739	8064
42	756	8037
43	772	8008
44	788	7971
45	806	7957
46	824	7946
47	842	7929
48	857	7897
49	876	7884
50	892	7857
51	908	7831
52	926	7810
53	943	7793
54	962	7784
55	979	7762
56	996	7746
57	1015	7737
58	1031	7708
59	1049	7694
60	1066	7673
61	1082	7647
62	1099	7625
63	1115	7600
64	1130	7567
65	1148	7550
66	1163	7521
67	1178	7490
68	1196	7472
69	1213	7452
70	1230	7433
71	1247	7413
72	1263	7388
73	1277	7355
74	1295	7339
75	1311	7315
76	1328	7298
77	1344	7276
78	1361	7253
79	1377	7231
80	1393	7208
81	1411	7194
82	1427	7169
83	1442	7142
84	1460	7128
85	1476	7105
86	1491	7079
87	1511	7077
88	1527	7053
89	1546	7046
90	1562	7021
91	1579	7005
92	1595	6981
93	1614	6971
94	1630	6949
95	1645	6923
96	1661	6903
97	1677	6883
98	1693	6859
99	1709	6838
100	1726	6819
101	1742	6799
102	1759	6781
103	1775	6759
104	1791	6737
105	1806	6713
106	1823	6698
107	1838	6674
108	1854	6650
109	1869	6629
110	1886	6609
111	1901	6588
112	1917	6567
113	1935	6553
114	1951	6533
115	1967	6513
116	1982	6490
117	1999	6471
118	2017	6460
119	2034	6441
120	2050	6422
121	2069	6410
122	2086	6395
123	2103	6379
124	2121	6365
125	2140	6352
126	2159	6342
127	2177	6327
128	2197	6318
129	2215	6305
130	2232	6288
131	2255	6286
132	2277	6285
133	2301	6286
134	2321	6276
135	2339	6260
136	2360	6253
137	2377	6236
138	2395	6222
139	2416	6213
140	2437	6205
141	2455	6189
142	2473	6175
143	2491	6158
144	2506	6136
145	2522	6115
146	2537	6093
147	2552	6071
148	2569	6052
149	2587	6036
150	2604	6019
151	2619	5997
152	2636	5979
153	2653	5961
154	2669	5942
155	2685	5922
156	2701	5902
157	2720	5887
158	2736	5869
159	2751	5847
160	2768	5829
161	2784	5809
162	2801	5792
163	2816	5770
164	2833	5752
165	2848	5732
166	2864	5712
167	2884	5700
168	2900	5681
169	2918	5664
170	2933	5643
171	2949	5625
172	2965	5605
173	2980	5584
174	2998	5567
175	3015	5550
176	3031	5532
177	3047	5512
178	3062	5492
179	3079	5475
180	3095	5455
181	3112	5438
182	3129	5421
183	3146	5402
184	3163	5385
185	3178	5366
186	3196	5349
187	3212	5331
188	3229	5314
189	3245	5295
190	3263	5279
191	3280	5262
192	3296	5243
193	3312	5224
194	3328	5205
195	3344	5186
196	3361	5170
197	3377	5150
198	3392	5131
199	3409	5113
200	3425	5095
201	3441	5077
202	3458	5059
203	3475	5043
204	3494	5028
205	3510	5009
206	3525	4990
207	3541	4971
208	3557	4953
209	3575	4937
210	3591	4919
211	3611	4905
212	3626	4886
213	3641	4866
214	3660	4852
215	3677	4834
216	3693	4816
217	3709	4798
218	3725	4780
219	3742	4762
220	3758	4744
221	3774	4726
222	3790	4708
223	3807	4691
224	3823	4672
225	3838	4653
226	3854	4635
227	3870	4617
228	3886	4599
229	3903	4582
230	3919	4564
231	3936	4547
232	3952	4529
233	3966	4509
234	3985	4494
235	4002	4477
236	4018	4459
237	4037	4444
238	4054	4427
239	4071	4410
240	4088	4393
241	4104	4375
242	4122	4359
243	4138	4342
244	4154	4324
245	4169	4305
246	4187	4289
247	4205	4273
248	4221	4255
249	4239	4239
250	4255	4221
251	4271	4203
252	4290	4188
253	4306	4170
254	4321	4152
255	4340	4136
256	4356	4118
257	4373	4102
258	4391	4086
259	4408	4069
260	4429	4055
261	4446	4038
262	4463	4022
263	4486	4010
264	4505	3995
265	4525	3980
266	4545	3967
267	4563	3950
268	4583	3936
269	4602	3920
270	4623	3906
271	4643	3892
272	4660	3875
273	4677	3858
274	4695	3841
275	4714	3826
276	4735	3812
277	4753	3796
278	4773	3780
279	4794	3767
280	4815	3752
281	4836	3739
282	4859	3726
283	4883	3714
284	4905	3700
285	4927	3686
286	4947	3672
287	4965	3655
288	4982	3638
289	5001	3621
290	5020	3606
291	5036	3587
292	5055	3571
293	5075	3555
294	5094	3539
295	5111	3523
296	5135	3510
297	5158	3497
298	5176	3480
299	5195	3463
300	5218	3450
301	5237	3434
302	5259	3419
303	5280	3404
304	5300	3388
305	5320	3372
306	5338	3356
307	5357	3339
308	5379	3325
309	5397	3308
310	5418	3293
311	5438	3277
312	5457	3260
313	5476	3244
314	5497	3228
315	5514	3211
316	5537	3196
317	5554	3179
318	5573	3162
319	5591	3145
320	5610	3128
321	5630	3112
322	5647	3094
323	5667	3078
324	5688	3062
325	5707	3046
326	5724	3028
327	5744	3012
328	5765	2996
329	5790	2983
330	5808	2965
331	5824	2947
332	5841	2929
333	5858	2911
334	5874	2893
335	5892	2876
336	5909	2858
337	5926	2840
338	5942	2822
339	5959	2804
340	5977	2787
341	5997	2770
342	6015	2753
343	6033	2736
344	6049	2717
345	6067	2700
346	6086	2683
347	6102	2665
348	6119	2647
349	6137	2630
350	6153	2612
351	6171	2594
352	6188	2577
353	6206	2559
354	6226	2543
355	6243	2525
356	6262	2508
357	6292	2495
358	6310	2478
359	6327	2460
360	6343	2442
361	6361	2424
362	6378	2407
363	6394	2389
364	6413	2372
365	6431	2354
366	6447	2336
367	6464	2318
368	6483	2301
369	6501	2284
370	6518	2266
371	6535	2248
372	6553	2231
373	6570	2213
374	6587	2195
375	6604	2178
376	6623	2160
377	6640	2143
378	6656	2125
379	6676	2108
380	6692	2090
381	6713	2073
382	6729	2055
383	6747	2038
384	6764	2020
385	6781	2002
386	6798	1985
387	6818	1968
388	6835	1950
389	6853	1932
390	6876	1917
391	6894	1899
392	6915	1882
393	6934	1865
394	6953	1848
